"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2023","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","76.9"
"Annual employment rate","2023","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","66.5"
"Annual employment rate","2023","55 - 59 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","63.4"
"Annual employment rate","2023","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","68.4"
"Annual employment rate","2023","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","67.7"
"Annual employment rate","2023","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","71.1"
"Annual employment rate","2023","55 - 59 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","66.5"
"Annual employment rate","2023","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","83.7"
"Annual employment rate","2023","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","86.6"
"Annual employment rate","2023","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","82.4"
"Annual employment rate","2023","55 - 59 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","83.5"
"Annual employment rate","2023","55 - 59 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","55 - 59 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2023","55 - 59 years","Male","Levels of Education (Levels  0-8)","Ireland","%","84.8"
"Annual employment rate","2023","55 - 59 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","82"
"Annual employment rate","2023","55 - 59 years","Male","Levels of Education (Levels  0-8)","Southern","%","85.1"
"Annual employment rate","2023","55 - 59 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","85.6"
"Annual employment rate","2023","55 - 59 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2023","55 - 59 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2023","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","76.2"
"Annual employment rate","2023","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","73.4"
"Annual employment rate","2023","55 - 59 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","77.6"
"Annual employment rate","2023","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","84.5"
"Annual employment rate","2023","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","82.5"
"Annual employment rate","2023","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","82.2"
"Annual employment rate","2023","55 - 59 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","87.8"
"Annual employment rate","2023","55 - 59 years","Male","Tertiary education (Levels 5-8)","Ireland","%","89.1"
"Annual employment rate","2023","55 - 59 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","87.3"
"Annual employment rate","2023","55 - 59 years","Male","Tertiary education (Levels 5-8)","Southern","%","95.6"
"Annual employment rate","2023","55 - 59 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","86.6"
"Annual employment rate","2023","55 - 59 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","55 - 59 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2023","55 - 59 years","Female","Levels of Education (Levels  0-8)","Ireland","%","66.1"
"Annual employment rate","2023","55 - 59 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","70.3"
"Annual employment rate","2023","55 - 59 years","Female","Levels of Education (Levels  0-8)","Southern","%","65.7"
"Annual employment rate","2023","55 - 59 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","64.8"
"Annual employment rate","2023","55 - 59 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2023","55 - 59 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2023","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","52.8"
"Annual employment rate","2023","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","47.3"
"Annual employment rate","2023","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","55.9"
"Annual employment rate","2023","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","59.2"
"Annual employment rate","2023","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","59.2"
"Annual employment rate","2023","55 - 59 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","51.9"
"Annual employment rate","2023","55 - 59 years","Female","Tertiary education (Levels 5-8)","Ireland","%","78.5"
"Annual employment rate","2023","55 - 59 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","85.6"
"Annual employment rate","2023","55 - 59 years","Female","Tertiary education (Levels 5-8)","Southern","%","73.7"
"Annual employment rate","2023","55 - 59 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","80.1"
"Annual employment rate","2023","55 - 59 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","55 - 59 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","55 - 59 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","55 - 59 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","61.6"
"Annual employment rate","2023","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","68.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","62.4"
"Annual employment rate","2023","60 - 64 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","58.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","57.6"
"Annual employment rate","2023","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","61.7"
"Annual employment rate","2023","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","59.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","53.7"
"Annual employment rate","2023","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","61.7"
"Annual employment rate","2023","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","75.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","62.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","55.5"
"Annual employment rate","2023","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","63.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","64.8"
"Annual employment rate","2023","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","64.1"
"Annual employment rate","2023","60 - 64 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","62.3"
"Annual employment rate","2023","60 - 64 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Male","Levels of Education (Levels  0-8)","Ireland","%","71.6"
"Annual employment rate","2023","60 - 64 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","76.9"
"Annual employment rate","2023","60 - 64 years","Male","Levels of Education (Levels  0-8)","Southern","%","73.7"
"Annual employment rate","2023","60 - 64 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","67.8"
"Annual employment rate","2023","60 - 64 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","66"
"Annual employment rate","2023","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","70.7"
"Annual employment rate","2023","60 - 64 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","58.6"
"Annual employment rate","2023","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","76.4"
"Annual employment rate","2023","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","81.3"
"Annual employment rate","2023","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","85.6"
"Annual employment rate","2023","60 - 64 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","67.1"
"Annual employment rate","2023","60 - 64 years","Male","Tertiary education (Levels 5-8)","Ireland","%","70.1"
"Annual employment rate","2023","60 - 64 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Male","Tertiary education (Levels 5-8)","Southern","%","61.3"
"Annual employment rate","2023","60 - 64 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","73.3"
"Annual employment rate","2023","60 - 64 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Female","Levels of Education (Levels  0-8)","Ireland","%","52"
"Annual employment rate","2023","60 - 64 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","59.8"
"Annual employment rate","2023","60 - 64 years","Female","Levels of Education (Levels  0-8)","Southern","%","51.4"
"Annual employment rate","2023","60 - 64 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","49.3"
"Annual employment rate","2023","60 - 64 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2023","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","46.5"
"Annual employment rate","2023","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","47.6"
"Annual employment rate","2023","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","49.1"
"Annual employment rate","2023","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","70.2"
"Annual employment rate","2023","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","41.7"
"Annual employment rate","2023","60 - 64 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","45.6"
"Annual employment rate","2023","60 - 64 years","Female","Tertiary education (Levels 5-8)","Ireland","%","57.2"
"Annual employment rate","2023","60 - 64 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Female","Tertiary education (Levels 5-8)","Southern","%","66.6"
"Annual employment rate","2023","60 - 64 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","51.7"
"Annual employment rate","2023","60 - 64 years","Female","Level of education - not stated","Ireland","%",""
"Annual employment rate","2023","60 - 64 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2023","60 - 64 years","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2023","60 - 64 years","Female","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2024","All ages","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","79.8"
"Annual employment rate","2024","All ages","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","78.4"
"Annual employment rate","2024","All ages","Both sexes","Levels of Education (Levels  0-8)","Southern","%","78.8"
"Annual employment rate","2024","All ages","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","80.8"
"Annual employment rate","2024","All ages","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","All ages","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","All ages","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","All ages","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","54.7"
"Annual employment rate","2024","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","57.5"
"Annual employment rate","2024","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","50.4"
"Annual employment rate","2024","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","56.8"
"Annual employment rate","2024","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","75.5"
"Annual employment rate","2024","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","73.8"
"Annual employment rate","2024","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","75.4"
"Annual employment rate","2024","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","76.1"
"Annual employment rate","2024","All ages","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","87.1"
"Annual employment rate","2024","All ages","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","85.6"
"Annual employment rate","2024","All ages","Both sexes","Tertiary education (Levels 5-8)","Southern","%","87.2"
"Annual employment rate","2024","All ages","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","87.6"
"Annual employment rate","2024","All ages","Both sexes","Level of education - not stated","Ireland","%","78.7"
"Annual employment rate","2024","All ages","Both sexes","Level of education - not stated","Northern and Western","%","86.2"
"Annual employment rate","2024","All ages","Both sexes","Level of education - not stated","Southern","%","80.5"
"Annual employment rate","2024","All ages","Both sexes","Level of education - not stated","Eastern and Midland","%","75.1"
"Annual employment rate","2024","All ages","Male","Levels of Education (Levels  0-8)","Ireland","%","84.3"
"Annual employment rate","2024","All ages","Male","Levels of Education (Levels  0-8)","Northern and Western","%","81.9"
"Annual employment rate","2024","All ages","Male","Levels of Education (Levels  0-8)","Southern","%","83.4"
"Annual employment rate","2024","All ages","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","85.6"
"Annual employment rate","2024","All ages","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","All ages","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","All ages","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","All ages","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","All ages","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","64.3"
"Annual employment rate","2024","All ages","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","64.6"
"Annual employment rate","2024","All ages","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","60.4"
"Annual employment rate","2024","All ages","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","67.3"
"Annual employment rate","2024","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","82.6"
"Annual employment rate","2024","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","80.4"
"Annual employment rate","2024","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","82.7"
"Annual employment rate","2024","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","83.3"
"Annual employment rate","2024","All ages","Male","Tertiary education (Levels 5-8)","Ireland","%","90.3"
"Annual employment rate","2024","All ages","Male","Tertiary education (Levels 5-8)","Northern and Western","%","88.7"
"Annual employment rate","2024","All ages","Male","Tertiary education (Levels 5-8)","Southern","%","90.6"
"Annual employment rate","2024","All ages","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","90.6"
"Annual employment rate","2024","All ages","Male","Level of education - not stated","Ireland","%","87.1"
"Annual employment rate","2024","All ages","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2024","All ages","Male","Level of education - not stated","Southern","%","87.7"
"Annual employment rate","2024","All ages","Male","Level of education - not stated","Eastern and Midland","%","86.3"
"Annual employment rate","2024","All ages","Female","Levels of Education (Levels  0-8)","Ireland","%","75.4"
"Annual employment rate","2024","All ages","Female","Levels of Education (Levels  0-8)","Northern and Western","%","74.9"
"Annual employment rate","2024","All ages","Female","Levels of Education (Levels  0-8)","Southern","%","74.3"
"Annual employment rate","2024","All ages","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","76.2"
"Annual employment rate","2024","All ages","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","All ages","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","All ages","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","All ages","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","All ages","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","39.5"
"Annual employment rate","2024","All ages","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2024","All ages","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","35.7"
"Annual employment rate","2024","All ages","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","41.7"
"Annual employment rate","2024","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","67.9"
"Annual employment rate","2024","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","67"
"Annual employment rate","2024","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","67.4"
"Annual employment rate","2024","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","68.5"
"Annual employment rate","2024","All ages","Female","Tertiary education (Levels 5-8)","Ireland","%","84.5"
"Annual employment rate","2024","All ages","Female","Tertiary education (Levels 5-8)","Northern and Western","%","83.2"
"Annual employment rate","2024","All ages","Female","Tertiary education (Levels 5-8)","Southern","%","84.5"
"Annual employment rate","2024","All ages","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","84.9"
"Annual employment rate","2024","All ages","Female","Level of education - not stated","Ireland","%","69.8"
"Annual employment rate","2024","All ages","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2024","All ages","Female","Level of education - not stated","Southern","%",""
"Annual employment rate","2024","All ages","Female","Level of education - not stated","Eastern and Midland","%","64.1"
"Annual employment rate","2024","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","70.3"
"Annual employment rate","2024","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","70"
"Annual employment rate","2024","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","69.9"
"Annual employment rate","2024","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","70.8"
"Annual employment rate","2024","20 - 24 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","67.4"
"Annual employment rate","2024","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","69.2"
"Annual employment rate","2024","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","65.6"
"Annual employment rate","2024","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","68"
"Annual employment rate","2024","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","81.1"
"Annual employment rate","2024","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","84.2"
"Annual employment rate","2024","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","80.6"
"Annual employment rate","2024","20 - 24 years","Both sexes","Level of education - not stated","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Level of education - not stated","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Both sexes","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Levels of Education (Levels  0-8)","Ireland","%","70.8"
"Annual employment rate","2024","20 - 24 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","72.3"
"Annual employment rate","2024","20 - 24 years","Male","Levels of Education (Levels  0-8)","Southern","%","69.4"
"Annual employment rate","2024","20 - 24 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","71.2"
"Annual employment rate","2024","20 - 24 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","71"
"Annual employment rate","2024","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","73"
"Annual employment rate","2024","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","68.6"
"Annual employment rate","2024","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","72.1"
"Annual employment rate","2024","20 - 24 years","Male","Tertiary education (Levels 5-8)","Ireland","%","77.8"
"Annual employment rate","2024","20 - 24 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Male","Tertiary education (Levels 5-8)","Southern","%","80.3"
"Annual employment rate","2024","20 - 24 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","76.2"
"Annual employment rate","2024","20 - 24 years","Male","Level of education - not stated","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Male","Level of education - not stated","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Male","Level of education - not stated","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Female","Levels of Education (Levels  0-8)","Ireland","%","69.8"
"Annual employment rate","2024","20 - 24 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","67.4"
"Annual employment rate","2024","20 - 24 years","Female","Levels of Education (Levels  0-8)","Southern","%","70.5"
"Annual employment rate","2024","20 - 24 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","70.2"
"Annual employment rate","2024","20 - 24 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2024","20 - 24 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2024","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%",""
"Annual employment rate","2024","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2024","20 - 24 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
